slug,symbol,name,date,ranknow,open,high,low,close,volume,market_price,close_ratio,spread
ethereum,ETH,Ethereum,11/24/2015,3,0.946442,0.948055,0.895931,0.900191,524195,67487356,0.0817,0.05
ethereum,ETH,Ethereum,11/25/2015,3,0.893827,0.899493,0.851106,0.863537,622991,64760707,0.2569,0.05
ethereum,ETH,Ethereum,11/26/2015,3,0.863273,0.903643,0.80436,0.884183,947473,66330892,0.804,0.1
ethereum,ETH,Ethereum,11/27/2015,3,0.8821,0.900051,0.860695,0.867951,403813,65135635,0.1844,0.04
ethereum,ETH,Ethereum,11/28/2015,3,0.868102,0.929293,0.862122,0.915703,462464,68742122,0.7977,0.07
ethereum,ETH,Ethereum,11/29/2015,3,0.914144,0.914153,0.860533,0.878614,448358,65980042,0.3372,0.05
ethereum,ETH,Ethereum,11/30/2015,3,0.879951,0.895054,0.847696,0.873119,784439,65589555,0.5368,0.05
ethereum,ETH,Ethereum,12/1/2015,3,0.878316,0.886736,0.853937,0.8748,652857,65738067,0.6361,0.03
ethereum,ETH,Ethereum,12/2/2015,3,0.873171,0.878017,0.818924,0.82121,506307,61730775,0.0387,0.06
ethereum,ETH,Ethereum,12/3/2015,3,0.818546,0.837664,0.785086,0.812143,539969,61070307,0.5146,0.05
ethereum,ETH,Ethereum,12/4/2015,3,0.812082,0.859575,0.802373,0.840041,241278,63189182,0.6585,0.06
ethereum,ETH,Ethereum,12/5/2015,3,0.841195,0.872821,0.824444,0.862438,232743,64895497,0.7854,0.05
ethereum,ETH,Ethereum,12/6/2015,3,0.866417,0.882436,0.833115,0.8355,443608,62889050,0.0484,0.05
ethereum,ETH,Ethereum,12/7/2015,3,0.836322,0.850791,0.78765,0.811264,520409,61084951,0.374,0.06
ethereum,ETH,Ethereum,12/8/2015,3,0.806024,0.823645,0.782328,0.822118,445903,61922409,0.963,0.04
ethereum,ETH,Ethereum,12/9/2015,3,0.824454,0.824454,0.770488,0.792167,624221,59687098,0.4017,0.05
ethereum,ETH,Ethereum,12/10/2015,3,0.79559,0.86159,0.787291,0.840396,369589,63342630,0.7147,0.07
ethereum,ETH,Ethereum,12/11/2015,3,0.839995,0.929762,0.819789,0.929762,801072,70101842,1,0.11
ethereum,ETH,Ethereum,12/12/2015,3,0.931196,1.05,0.928546,0.976973,1376280,73686284,0.3987,0.12
ethereum,ETH,Ethereum,12/13/2015,3,0.971538,0.989394,0.937438,0.952884,273614,71894531,0.2973,0.05
ethereum,ETH,Ethereum,12/14/2015,3,0.95662,1.01,0.950178,0.993022,563436,74947760,0.7162,0.06
ethereum,ETH,Ethereum,12/15/2015,3,0.990589,1.03,0.98224,1.01,578618,76568082,0.5812,0.05
ethereum,ETH,Ethereum,12/16/2015,3,1.02,1.02,0.974927,0.991182,320767,74858729,0.3606,0.05
ethereum,ETH,Ethereum,12/17/2015,3,0.993043,0.997611,0.911807,0.940701,640765,71069938,0.3367,0.09
ethereum,ETH,Ethereum,12/18/2015,3,0.938327,0.939493,0.908081,0.920127,300787,69538663,0.3835,0.03
ethereum,ETH,Ethereum,12/19/2015,3,0.921524,0.925874,0.888916,0.908072,343535,68650439,0.5183,0.04
ethereum,ETH,Ethereum,12/20/2015,3,0.90824,0.943185,0.899441,0.903885,472164,68356313,0.1016,0.04
ethereum,ETH,Ethereum,12/21/2015,3,0.906065,0.91739,0.891182,0.900771,549113,68143246,0.3659,0.03
ethereum,ETH,Ethereum,12/22/2015,3,0.894973,0.909526,0.862059,0.864202,454249,65398932,0.0451,0.05
ethereum,ETH,Ethereum,12/23/2015,3,0.861782,0.88294,0.856065,0.858077,334993,64957356,0.0749,0.03
ethereum,ETH,Ethereum,12/24/2015,3,0.859433,0.882818,0.8476,0.863262,354646,65371538,0.4447,0.04
ethereum,ETH,Ethereum,12/25/2015,3,0.861993,0.882556,0.861993,0.870363,187114,65931377,0.407,0.02
ethereum,ETH,Ethereum,12/26/2015,3,0.870766,0.897453,0.838314,0.854603,425282,64758910,0.2754,0.06
